Time,Level,Ticker,Notional,Size,Price,Closing1d,Volume,1DChg,UndTkr,1PtVal,Exch,UndCmpName,UndPrc,Date,FutName,Structure_ID,Structure
18:50:22,,ZTWH5,98470960.0,1414,707.249,,25609,3.05,M1MS,100,GR,MSCI EM Asia Net Total Return,696.4,2024-12-18,MSCI Emer Mkts As Mar25,20241218-R-13-L1,Leg
18:50:08,,ZTWZ4,99795553.0,1433,698.0,,29744,3.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.41,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-13-L2,Leg
18:47:08,1.3550134969325223,ZSIZ4H5,59498362.0,736,8150.0,"=BDH(J41&"" Index"", ""PX_CLOSE_1D"",O41,O41)",937,-24.0,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8133.32,2024-12-18,MSCI Pacific ex J Dec24Mar25,20241218-R-14,Roll
18:47:43,,ZSIH5,59135489.0,727,8260.4336,,912,-12.57,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8134.18,2024-12-18,MSCI Pacific ex J Mar25,20241218-R-14-L1,Leg
18:47:08,,ZSIZ4,59861235.0,736,8150.0,,937,-24.0,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8133.32,2024-12-18,MSCI Pacific ex J Dec24,20241218-R-14-L2,Leg
18:47:25,1.325000579710145,FMIZ4H5,59468032.0,696,8625.0,"=BDH(J44&"" Index"", ""PX_CLOSE_1D"",O44,O44)",7737,-6.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24Mar25,20241218-R-15,Roll
18:47:25,,FMIH5,59081038.0,687,8739.2813,,21762,-23.72,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Mar25,20241218-R-15-L1,Leg
18:47:25,,FMIZ4,59855026.0,696,8625.0,,7737,-6.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24,20241218-R-15-L2,Leg
18:45:45,1.2999991117427667,ZSSZ4H5,40977289.5,732,56290.0,"=BDH(J47&"" Index"", ""PX_CLOSE_1D"",O47,O47)",4047,140.0,M1HK,1,GR,MSCI Hong Kong Net USD Index,56364.91,2024-12-18,MSCI Hong Kong    Dec24Mar25,20241218-R-16,Roll
18:45:46,,ZSSH5,40695465.0,722,57021.7695,,836,-158.23,M1HK,1,GR,MSCI Hong Kong Net USD Index,56364.91,2024-12-18,MSCI Hong Kong    Mar25,20241218-R-16-L1,Leg
18:45:45,,ZSSZ4,41259114.0,732,56290.0,,4047,140.0,M1HK,1,GR,MSCI Hong Kong Net USD Index,56364.91,2024-12-18,MSCI Hong Kong    Dec24,20241218-R-16-L2,Leg
18:44:22,1.1683639234260967,MURZ4H5,7893079.0,314,506.7,"=BDH(J50&"" Index"", ""PX_CLOSE_1D"",O50,O50)",9011,-0.6,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Dec24Mar25,20241218-R-17,Roll
18:44:22,,MURH5,7893079.0,314,512.6201,,9159,-0.38,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Mar25,20241218-R-17-L1,Leg
18:44:22,,MURZ4,7893079.0,314,506.7,,9011,-0.6,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Dec24,20241218-R-17-L2,Leg
18:43:19,1.3499825571254176,ZTOZ4H5,76482550.5,1344,5733.0,"=BDH(J53&"" Index"", ""PX_CLOSE_1D"",O53,O53)",834,-14.0,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24Mar25,20241218-R-18,Roll
18:43:20,,ZTOH5,75966938.0,1326,5810.3945,,829,-7.61,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Mar25,20241218-R-18-L1,Leg
18:43:19,,ZTOZ4,76998163.0,1344,5733.0,,834,-14.0,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24,20241218-R-18-L2,Leg
18:41:07,1.3350086956521734,FMIZ4H5,39731353.0,465,8625.0,"=BDH(J56&"" Index"", ""PX_CLOSE_1D"",O56,O56)",7041,-6.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24Mar25,20241218-R-19,Roll
18:41:07,,FMIH5,39473357.0,459,8740.1445,,21762,-22.86,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Mar25,20241218-R-19-L1,Leg
18:41:07,,FMIZ4,39989349.0,465,8625.0,,7041,-6.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24,20241218-R-19-L2,Leg
18:38:26,1.3250716332378287,ZTWZ4H5,44641485.5,645,698.0,"=BDH(J59&"" Index"", ""PX_CLOSE_1D"",O59,O59)",28309,3.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.44,2024-12-18,MSCI Emer Mkts As Dec24Mar25,20241218-R-20,Roll
18:39:02,,ZTWH5,44362591.0,637,707.249,,24195,3.05,M1MS,100,GR,MSCI EM Asia Net Total Return,696.43,2024-12-18,MSCI Emer Mkts As Mar25,20241218-R-20-L1,Leg
18:38:26,,ZTWZ4,44920380.0,645,698.0,,28309,3.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.44,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-20-L2,Leg
18:28:03,3.630084563565994,ZTWZ4U5,49024806.5,717,697.7,"=BDH(J62&"" Index"", ""PX_CLOSE_1D"",O62,O62)",27661,2.7,M1MS,100,GR,MSCI EM Asia Net Total Return,696.38,2024-12-18,MSCI Emer Mkts As Dec24Sep25,20241218-R-21,Roll
18:28:45,,ZTWU5,48119167.0,691,723.0271,,24354,2.23,M1MS,100,GR,MSCI EM Asia Net Total Return,696.37,2024-12-18,MSCI Emer Mkts As Sep25,20241218-R-21-L1,Leg
18:28:03,,ZTWZ4,49930446.0,717,697.7,,27661,2.7,M1MS,100,GR,MSCI EM Asia Net Total Return,696.38,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-21-L2,Leg
18:14:55,1.324989234964824,ZTWZ4H5,139061095.0,2010,696.7,"=BDH(J65&"" Index"", ""PX_CLOSE_1D"",O65,O65)",26919,1.7,M1MS,100,GR,MSCI EM Asia Net Total Return,696.35,2024-12-18,MSCI Emer Mkts As Dec24Mar25,20241218-R-22,Roll
18:15:05,,ZTWH5,138155840.0,1984,705.9312,,23526,1.73,M1MS,100,GR,MSCI EM Asia Net Total Return,696.35,2024-12-18,MSCI Emer Mkts As Mar25,20241218-R-22-L1,Leg
18:14:55,,ZTWZ4,139966350.0,2010,696.7,,26919,1.7,M1MS,100,GR,MSCI EM Asia Net Total Return,696.35,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-22-L2,Leg
17:49:15,1.3000203665987753,ZULZ4H5,62318396.0,1276,491.0,"=BDH(J68&"" Index"", ""PX_CLOSE_1D"",O68,O68)",5382,-9.0,M1LA,100,GR,MSCI EM Latin America Net Tota,491.47,2024-12-18,MSCI Eme Mkt Lat  Dec24Mar25,20241218-R-23,Roll
17:49:23,,ZULH5,61925220.0,1260,497.3831,,4167,-9.32,M1LA,100,GR,MSCI EM Latin America Net Tota,491.47,2024-12-18,MSCI Eme Mkt Lat  Mar25,20241218-R-23-L1,Leg
17:49:15,,ZULZ4,62711572.0,1276,491.0,,5382,-9.0,M1LA,100,GR,MSCI EM Latin America Net Tota,491.47,2024-12-18,MSCI Eme Mkt Lat  Dec24,20241218-R-23-L2,Leg
17:40:04,1.540065751305364,ZVLZ4H5,100088649.0,774,1292.75,"=BDH(J71&"" Index"", ""PX_CLOSE_1D"",O71,O71)",3856,-10.25,M1IN,100,GR,MSCI India Net Total Return US,1292.98,2024-12-18,MSCI India        Dec24Mar25,20241218-R-24,Roll
17:41:19,,ZVLH5,100100646.0,774,1312.6592,,3518,-10.94,M1IN,100,GR,MSCI India Net Total Return US,1293.29,2024-12-18,MSCI India        Mar25,20241218-R-24-L1,Leg
17:40:04,,ZVLZ4,100076652.0,774,1292.75,,3856,-10.25,M1IN,100,GR,MSCI India Net Total Return US,1292.98,2024-12-18,MSCI India        Dec24,20241218-R-24-L2,Leg
17:37:25,1.330026651216687,FMIZ4H5,73227808.0,857,8630.0,"=BDH(J74&"" Index"", ""PX_CLOSE_1D"",O74,O74)",6576,-1.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24Mar25,20241218-R-25,Roll
17:37:48,,FMIH5,72754816.0,846,8744.7813,,21762,-18.22,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Mar25,20241218-R-25-L1,Leg
17:37:25,,FMIZ4,73700800.0,857,8630.0,,6576,-1.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24,20241218-R-25-L2,Leg
17:24:54,1.3001901743264765,ZTYZ4H5,6553269.5,209,315.5,"=BDH(J77&"" Index"", ""PX_CLOSE_1D"",O77,O77)",13258,-5.9,M1EE,100,GR,MSCI EM Europe Middle East and,315.85,2024-12-18,MSCI Emr Mkts EME Dec24Mar25,20241218-R-26,Roll
17:25:23,,ZTYH5,6505274.0,206,319.6021,,9897,-5.5,M1EE,100,GR,MSCI EM Europe Middle East and,315.79,2024-12-18,MSCI Emr Mkts EME Mar25,20241218-R-26-L1,Leg
17:24:54,,ZTYZ4,6601265.0,209,315.5,,13258,-5.9,M1EE,100,GR,MSCI EM Europe Middle East and,315.85,2024-12-18,MSCI Emr Mkts EME Dec24,20241218-R-26-L2,Leg
17:21:39,1.3610163550314969,ZSIZ4H5,13015984.0,160,8147.0586,"=BDH(J80&"" Index"", ""PX_CLOSE_1D"",O80,O80)",197,-26.94,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8134.99,2024-12-18,MSCI Pacific ex J Dec24Mar25,20241218-R-27,Roll
17:21:39,,ZSIH5,13015984.0,160,8257.9414,,185,-15.06,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8134.99,2024-12-18,MSCI Pacific ex J Mar25,20241218-R-27-L1,Leg
17:21:39,,ZSIZ4,13015984.0,160,8147.0586,,197,-26.94,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8134.99,2024-12-18,MSCI Pacific ex J Dec24,20241218-R-27-L2,Leg
